Instance,original clu. VIG,original clu. LIG,original mod. VIG,original mod. LIG,original mod. VCG,original mod. LCG,original parity,batch1_pres1_forcingTrue clu. VIG,batch1_pres1_forcingTrue clu. LIG,batch1_pres1_forcingTrue mod. VIG,batch1_pres1_forcingTrue mod. LIG,batch1_pres1_forcingTrue mod. VCG,batch1_pres1_forcingTrue mod. LCG,batch1_pres1_forcingTrue parity,batch1_pres1_forcingFalse clu. VIG,batch1_pres1_forcingFalse clu. LIG,batch1_pres1_forcingFalse mod. VIG,batch1_pres1_forcingFalse mod. LIG,batch1_pres1_forcingFalse mod. VCG,batch1_pres1_forcingFalse mod. LCG,batch1_pres1_forcingFalse parity,batch1_pres4_forcingTrue clu. VIG,batch1_pres4_forcingTrue clu. LIG,batch1_pres4_forcingTrue mod. VIG,batch1_pres4_forcingTrue mod. LIG,batch1_pres4_forcingTrue mod. VCG,batch1_pres4_forcingTrue mod. LCG,batch1_pres4_forcingTrue parity,batch1_pres4_forcingFalse clu. VIG,batch1_pres4_forcingFalse clu. LIG,batch1_pres4_forcingFalse mod. VIG,batch1_pres4_forcingFalse mod. LIG,batch1_pres4_forcingFalse mod. VCG,batch1_pres4_forcingFalse mod. LCG,batch1_pres4_forcingFalse parity,batch1_pres9_forcingTrue clu. VIG,batch1_pres9_forcingTrue clu. LIG,batch1_pres9_forcingTrue mod. VIG,batch1_pres9_forcingTrue mod. LIG,batch1_pres9_forcingTrue mod. VCG,batch1_pres9_forcingTrue mod. LCG,batch1_pres9_forcingTrue parity,batch1_pres9_forcingFalse clu. VIG,batch1_pres9_forcingFalse clu. LIG,batch1_pres9_forcingFalse mod. VIG,batch1_pres9_forcingFalse mod. LIG,batch1_pres9_forcingFalse mod. VCG,batch1_pres9_forcingFalse mod. LCG,batch1_pres9_forcingFalse parity,batch1_pres36_forcingTrue clu. VIG,batch1_pres36_forcingTrue clu. LIG,batch1_pres36_forcingTrue mod. VIG,batch1_pres36_forcingTrue mod. LIG,batch1_pres36_forcingTrue mod. VCG,batch1_pres36_forcingTrue mod. LCG,batch1_pres36_forcingTrue parity,batch1_pres36_forcingFalse clu. VIG,batch1_pres36_forcingFalse clu. LIG,batch1_pres36_forcingFalse mod. VIG,batch1_pres36_forcingFalse mod. LIG,batch1_pres36_forcingFalse mod. VCG,batch1_pres36_forcingFalse mod. LCG,batch1_pres36_forcingFalse parity,batch4_pres1_forcingTrue clu. VIG,batch4_pres1_forcingTrue clu. LIG,batch4_pres1_forcingTrue mod. VIG,batch4_pres1_forcingTrue mod. LIG,batch4_pres1_forcingTrue mod. VCG,batch4_pres1_forcingTrue mod. LCG,batch4_pres1_forcingTrue parity,batch4_pres1_forcingFalse clu. VIG,batch4_pres1_forcingFalse clu. LIG,batch4_pres1_forcingFalse mod. VIG,batch4_pres1_forcingFalse mod. LIG,batch4_pres1_forcingFalse mod. VCG,batch4_pres1_forcingFalse mod. LCG,batch4_pres1_forcingFalse parity,batch4_pres4_forcingTrue clu. VIG,batch4_pres4_forcingTrue clu. LIG,batch4_pres4_forcingTrue mod. VIG,batch4_pres4_forcingTrue mod. LIG,batch4_pres4_forcingTrue mod. VCG,batch4_pres4_forcingTrue mod. LCG,batch4_pres4_forcingTrue parity,batch4_pres4_forcingFalse clu. VIG,batch4_pres4_forcingFalse clu. LIG,batch4_pres4_forcingFalse mod. VIG,batch4_pres4_forcingFalse mod. LIG,batch4_pres4_forcingFalse mod. VCG,batch4_pres4_forcingFalse mod. LCG,batch4_pres4_forcingFalse parity,batch4_pres9_forcingTrue clu. VIG,batch4_pres9_forcingTrue clu. LIG,batch4_pres9_forcingTrue mod. VIG,batch4_pres9_forcingTrue mod. LIG,batch4_pres9_forcingTrue mod. VCG,batch4_pres9_forcingTrue mod. LCG,batch4_pres9_forcingTrue parity,batch4_pres9_forcingFalse clu. VIG,batch4_pres9_forcingFalse clu. LIG,batch4_pres9_forcingFalse mod. VIG,batch4_pres9_forcingFalse mod. LIG,batch4_pres9_forcingFalse mod. VCG,batch4_pres9_forcingFalse mod. LCG,batch4_pres9_forcingFalse parity,batch4_pres36_forcingTrue clu. VIG,batch4_pres36_forcingTrue clu. LIG,batch4_pres36_forcingTrue mod. VIG,batch4_pres36_forcingTrue mod. LIG,batch4_pres36_forcingTrue mod. VCG,batch4_pres36_forcingTrue mod. LCG,batch4_pres36_forcingTrue parity,batch4_pres36_forcingFalse clu. VIG,batch4_pres36_forcingFalse clu. LIG,batch4_pres36_forcingFalse mod. VIG,batch4_pres36_forcingFalse mod. LIG,batch4_pres36_forcingFalse mod. VCG,batch4_pres36_forcingFalse mod. LCG,batch4_pres36_forcingFalse parity,batch8_pres1_forcingTrue clu. VIG,batch8_pres1_forcingTrue clu. LIG,batch8_pres1_forcingTrue mod. VIG,batch8_pres1_forcingTrue mod. LIG,batch8_pres1_forcingTrue mod. VCG,batch8_pres1_forcingTrue mod. LCG,batch8_pres1_forcingTrue parity,batch8_pres1_forcingFalse clu. VIG,batch8_pres1_forcingFalse clu. LIG,batch8_pres1_forcingFalse mod. VIG,batch8_pres1_forcingFalse mod. LIG,batch8_pres1_forcingFalse mod. VCG,batch8_pres1_forcingFalse mod. LCG,batch8_pres1_forcingFalse parity,batch8_pres4_forcingTrue clu. VIG,batch8_pres4_forcingTrue clu. LIG,batch8_pres4_forcingTrue mod. VIG,batch8_pres4_forcingTrue mod. LIG,batch8_pres4_forcingTrue mod. VCG,batch8_pres4_forcingTrue mod. LCG,batch8_pres4_forcingTrue parity,batch8_pres4_forcingFalse clu. VIG,batch8_pres4_forcingFalse clu. LIG,batch8_pres4_forcingFalse mod. VIG,batch8_pres4_forcingFalse mod. LIG,batch8_pres4_forcingFalse mod. VCG,batch8_pres4_forcingFalse mod. LCG,batch8_pres4_forcingFalse parity,batch8_pres9_forcingTrue clu. VIG,batch8_pres9_forcingTrue clu. LIG,batch8_pres9_forcingTrue mod. VIG,batch8_pres9_forcingTrue mod. LIG,batch8_pres9_forcingTrue mod. VCG,batch8_pres9_forcingTrue mod. LCG,batch8_pres9_forcingTrue parity,batch8_pres9_forcingFalse clu. VIG,batch8_pres9_forcingFalse clu. LIG,batch8_pres9_forcingFalse mod. VIG,batch8_pres9_forcingFalse mod. LIG,batch8_pres9_forcingFalse mod. VCG,batch8_pres9_forcingFalse mod. LCG,batch8_pres9_forcingFalse parity,batch8_pres36_forcingTrue clu. VIG,batch8_pres36_forcingTrue clu. LIG,batch8_pres36_forcingTrue mod. VIG,batch8_pres36_forcingTrue mod. LIG,batch8_pres36_forcingTrue mod. VCG,batch8_pres36_forcingTrue mod. LCG,batch8_pres36_forcingTrue parity,batch8_pres36_forcingFalse clu. VIG,batch8_pres36_forcingFalse clu. LIG,batch8_pres36_forcingFalse mod. VIG,batch8_pres36_forcingFalse mod. LIG,batch8_pres36_forcingFalse mod. VCG,batch8_pres36_forcingFalse mod. LCG,batch8_pres36_forcingFalse parity,batch16_pres1_forcingTrue clu. VIG,batch16_pres1_forcingTrue clu. LIG,batch16_pres1_forcingTrue mod. VIG,batch16_pres1_forcingTrue mod. LIG,batch16_pres1_forcingTrue mod. VCG,batch16_pres1_forcingTrue mod. LCG,batch16_pres1_forcingTrue parity,batch16_pres1_forcingFalse clu. VIG,batch16_pres1_forcingFalse clu. LIG,batch16_pres1_forcingFalse mod. VIG,batch16_pres1_forcingFalse mod. LIG,batch16_pres1_forcingFalse mod. VCG,batch16_pres1_forcingFalse mod. LCG,batch16_pres1_forcingFalse parity,batch16_pres4_forcingTrue clu. VIG,batch16_pres4_forcingTrue clu. LIG,batch16_pres4_forcingTrue mod. VIG,batch16_pres4_forcingTrue mod. LIG,batch16_pres4_forcingTrue mod. VCG,batch16_pres4_forcingTrue mod. LCG,batch16_pres4_forcingTrue parity,batch16_pres4_forcingFalse clu. VIG,batch16_pres4_forcingFalse clu. LIG,batch16_pres4_forcingFalse mod. VIG,batch16_pres4_forcingFalse mod. LIG,batch16_pres4_forcingFalse mod. VCG,batch16_pres4_forcingFalse mod. LCG,batch16_pres4_forcingFalse parity,batch16_pres9_forcingTrue clu. VIG,batch16_pres9_forcingTrue clu. LIG,batch16_pres9_forcingTrue mod. VIG,batch16_pres9_forcingTrue mod. LIG,batch16_pres9_forcingTrue mod. VCG,batch16_pres9_forcingTrue mod. LCG,batch16_pres9_forcingTrue parity,batch16_pres9_forcingFalse clu. VIG,batch16_pres9_forcingFalse clu. LIG,batch16_pres9_forcingFalse mod. VIG,batch16_pres9_forcingFalse mod. LIG,batch16_pres9_forcingFalse mod. VCG,batch16_pres9_forcingFalse mod. LCG,batch16_pres9_forcingFalse parity,batch16_pres36_forcingTrue clu. VIG,batch16_pres36_forcingTrue clu. LIG,batch16_pres36_forcingTrue mod. VIG,batch16_pres36_forcingTrue mod. LIG,batch16_pres36_forcingTrue mod. VCG,batch16_pres36_forcingTrue mod. LCG,batch16_pres36_forcingTrue parity,batch16_pres36_forcingFalse clu. VIG,batch16_pres36_forcingFalse clu. LIG,batch16_pres36_forcingFalse mod. VIG,batch16_pres36_forcingFalse mod. LIG,batch16_pres36_forcingFalse mod. VCG,batch16_pres36_forcingFalse mod. LCG,batch16_pres36_forcingFalse parity
unsat_matching_60_247_80381.cnf,0.4715199615199614,0.47151996151996156,0.48259826613921397,0.5950598644895212,0.6504952512809895,0.6024580015378801,"(120, 436)","(0.07341392, 0.14283617)","(0.048842072, 0.106653325)","(0.90209186, 0.11077228)","(0.92497766, 0.07831935)","(0.9613687, 0.07845227)","(0.8945373, 0.111852415)","(106.0, 283.5)","(0.06707689, 0.11284705)","(0.033808913, 0.05727023)","(0.91692936, 0.098333344)","(0.917295, 0.097190455)","(0.9639429, 0.06788201)","(0.96420705, 0.0670479)","(331.9, 0.1)","(0.072824225, 0.12980437)","(0.048628572, 0.101103865)","(0.90478784, 0.111115)","(0.93145835, 0.07257008)","(0.96196556, 0.07761703)","(0.8918096, 0.106722645)","(103.6, 280.3)","(0.07794442, 0.1287334)","(0.039412174, 0.06574686)","(0.91178274, 0.09711319)","(0.91262925, 0.0944664)","(0.9623641, 0.06981855)","(0.9623908, 0.06970244)","(338.3, 0.2)","(0.07383169, 0.14744154)","(0.04823623, 0.105159335)","(0.90888786, 0.11324901)","(0.937232, 0.07401991)","(0.9608308, 0.07530753)","(0.88144064, 0.10664595)","(105.4, 291.7)","(0.06975856, 0.124142796)","(0.035121884, 0.06283484)","(0.9126628, 0.10614532)","(0.912621, 0.10627709)","(0.9621953, 0.07225946)","(0.96269715, 0.07064056)","(337.2, 0.2)","(0.06274491, 0.14576615)","(0.04349898, 0.1106372)","(0.9176408, 0.11799535)","(0.9399146, 0.08289178)","(0.9625858, 0.07971679)","(0.89055955, 0.112430155)","(106.0, 285.5)","(0.06627143, 0.11344672)","(0.033824813, 0.058867443)","(0.9122826, 0.10815779)","(0.913892, 0.10313251)","(0.9633724, 0.07313628)","(0.96410465, 0.070823655)","(328.2, 0.5)","(0.064082734, 0.12307809)","(0.045153566, 0.098461285)","(0.90467376, 0.11121157)","(0.93141115, 0.07091269)","(0.9619619, 0.07644258)","(0.89346683, 0.11049331)","(105.0, 282.5)","(0.06351761, 0.12309171)","(0.032909244, 0.06516294)","(0.9190885, 0.10077135)","(0.9202956, 0.096976474)","(0.96390945, 0.070825696)","(0.963768, 0.07127259)","(330.7, 0.7)","(0.070332736, 0.13237666)","(0.047335003, 0.10149484)","(0.9042241, 0.11651846)","(0.9337638, 0.076703645)","(0.96218747, 0.07571703)","(0.8904625, 0.11158738)","(104.8, 288.0)","(0.06528196, 0.11085893)","(0.033933956, 0.059487097)","(0.9098633, 0.11253714)","(0.91094315, 0.10915813)","(0.9614769, 0.07343913)","(0.9615302, 0.0731469)","(335.8, 0.5)","(0.07174343, 0.1287554)","(0.051176537, 0.10744754)","(0.9062192, 0.11418116)","(0.9338234, 0.07207383)","(0.96180785, 0.07840441)","(0.89026535, 0.10970609)","(104.5, 282.5)","(0.066612095, 0.093450785)","(0.033964332, 0.04877813)","(0.91360873, 0.10220781)","(0.91361827, 0.10217771)","(0.9642022, 0.0660821)","(0.96340024, 0.068615936)","(335.0, 0.6)","(0.07826892, 0.12849626)","(0.051707767, 0.0989909)","(0.9045619, 0.109990545)","(0.9284967, 0.07481007)","(0.9609276, 0.080211096)","(0.88900983, 0.11513421)","(104.9, 284.4)","(0.057006408, 0.111082636)","(0.029042542, 0.057239637)","(0.9172022, 0.0999153)","(0.91838396, 0.09625868)","(0.9648777, 0.06733086)","(0.9644041, 0.0688279)","(334.4, 0.5)","(0.07520851, 0.1427994)","(0.04884039, 0.104291566)","(0.90846384, 0.11191689)","(0.93407774, 0.068288356)","(0.96245253, 0.07696461)","(0.89013416, 0.114960104)","(104.0, 280.8)","(0.06345105, 0.123985566)","(0.032384202, 0.06404801)","(0.91997826, 0.09599569)","(0.9209754, 0.09288843)","(0.9652189, 0.06364853)","(0.9645727, 0.06540673)","(332.3, 0.5)","(0.08283592, 0.12933284)","(0.054335065, 0.09936687)","(0.90390015, 0.108499415)","(0.92978275, 0.076210395)","(0.96188724, 0.07491395)","(0.8897009, 0.11110303)","(104.0, 283.5)","(0.0650772, 0.13037194)","(0.0343903, 0.070995145)","(0.91906613, 0.10451647)","(0.921666, 0.0963119)","(0.96362954, 0.06952487)","(0.96338356, 0.07030242)","(333.5, 0.8)","(0.06519393, 0.13892205)","(0.044995878, 0.10422091)","(0.90634376, 0.11083358)","(0.93169004, 0.07625696)","(0.9617794, 0.07705788)","(0.8921544, 0.11473977)","(103.6, 282.7)","(0.07642756, 0.109482706)","(0.039453704, 0.058638558)","(0.91119415, 0.1043911)","(0.9115823, 0.10199856)","(0.9617216, 0.06906016)","(0.960523, 0.0727848)","(340.0, 0.6)","(0.072331056, 0.13093263)","(0.05193735, 0.10974221)","(0.90738237, 0.117892824)","(0.93672115, 0.07598204)","(0.96083087, 0.08078889)","(0.8894758, 0.11051701)","(105.4, 281.2)","(0.072078615, 0.11889384)","(0.036319546, 0.060325325)","(0.91497374, 0.09857076)","(0.91510373, 0.09816728)","(0.96187705, 0.06943064)","(0.9617783, 0.06974248)","(337.4, 0.3)","(0.07430635, 0.13183862)","(0.048822653, 0.097282656)","(0.9098565, 0.11137596)","(0.93437755, 0.06919926)","(0.9632624, 0.07217302)","(0.8882572, 0.11071942)","(105.5, 282.4)","(0.06576393, 0.117555864)","(0.03399851, 0.06230008)","(0.9094914, 0.1080307)","(0.9121729, 0.09959557)","(0.9637678, 0.06914961)","(0.9630059, 0.07152883)","(328.2, 0.5)","(0.08135362, 0.14022422)","(0.054512918, 0.10870156)","(0.9050175, 0.11559782)","(0.92894995, 0.08183281)","(0.95940095, 0.08246645)","(0.88544273, 0.110731125)","(105.1, 287.7)","(0.061603732, 0.11235092)","(0.030801866, 0.05617546)","(0.9098736, 0.104498655)","(0.90949094, 0.1056918)","(0.9618853, 0.07202105)","(0.96165544, 0.07272573)","(332.5, 0.2)","(0.08400486, 0.13876548)","(0.054407775, 0.103021815)","(0.9060401, 0.10588148)","(0.9310133, 0.06530209)","(0.9629486, 0.07382255)","(0.8937128, 0.110152975)","(104.8, 281.3)","(0.07565104, 0.10720547)","(0.038586803, 0.05597452)","(0.9141048, 0.09500858)","(0.9140301, 0.0952439)","(0.96277106, 0.06883164)","(0.9634309, 0.06674844)","(336.0, 0.6)","(0.07605484, 0.12734948)","(0.051102042, 0.09954339)","(0.9049654, 0.1157894)","(0.93148404, 0.07810882)","(0.96136445, 0.0772835)","(0.8964575, 0.11485043)","(105.4, 285.0)","(0.070909396, 0.11164486)","(0.03616914, 0.058035582)","(0.9140152, 0.09705583)","(0.9155738, 0.09215495)","(0.96394044, 0.065657295)","(0.96404666, 0.06532165)","(333.8, 0.7)"
unsat_3color_150_800_51520.cnf,0.15020962370962357,0.5751048118548119,0.47181866666666666,0.6064666666666668,0.6641436179981633,0.6099105601469239,"(150, 1500)","(0.14945611, 0.026209945)","(0.112955585, 0.0421459)","(0.56110245, 0.08700568)","(0.6563433, 0.09386265)","(0.78334874, 0.07129847)","(0.68943274, 0.061699953)","(138.4, 937.4)","(0.14622465, 0.027088162)","(0.07535942, 0.019358752)","(0.5554345, 0.081144735)","(0.5561292, 0.07553689)","(0.7720695, 0.05661109)","(0.7716681, 0.05852487)","(1030.1, 1.7)","(0.15361443, 0.026683232)","(0.11264373, 0.039070256)","(0.55291414, 0.08759179)","(0.644785, 0.0951475)","(0.7765352, 0.07283459)","(0.6813787, 0.06257961)","(138.2, 966.6)","(0.14628813, 0.025114972)","(0.07441045, 0.015929908)","(0.55940944, 0.080733046)","(0.5594376, 0.07712781)","(0.7749885, 0.058291674)","(0.7754035, 0.05815621)","(1022.3, 1.0)","(0.15691817, 0.03382689)","(0.116809584, 0.04093837)","(0.5463585, 0.086537525)","(0.64354837, 0.09542763)","(0.77679443, 0.07214676)","(0.680366, 0.06439297)","(139.9, 965.0)","(0.16334519, 0.018395828)","(0.08283609, 0.012475396)","(0.5618435, 0.082718514)","(0.56348014, 0.07600877)","(0.7734315, 0.058268413)","(0.773808, 0.05728135)","(1018.5, 1.2)","(0.16459446, 0.031701624)","(0.11992846, 0.049394764)","(0.56275177, 0.09293035)","(0.6517259, 0.09919146)","(0.7842246, 0.07285954)","(0.68689346, 0.061942)","(138.5, 937.7)","(0.15851656, 0.023885034)","(0.07980351, 0.013325387)","(0.56222594, 0.07977031)","(0.56112206, 0.07757865)","(0.7740207, 0.05451846)","(0.77605844, 0.055978715)","(1023.3, 0.6)","(0.16073933, 0.022095524)","(0.11951467, 0.039873112)","(0.5500909, 0.08565264)","(0.6410371, 0.09329237)","(0.7765708, 0.07011592)","(0.683015, 0.06125051)","(139.1, 961.6)","(0.1528199, 0.026024342)","(0.07772571, 0.016447973)","(0.56063116, 0.07892888)","(0.56319636, 0.07621682)","(0.7744149, 0.05540076)","(0.7736726, 0.057226617)","(1031.4, 1.0)","(0.1571571, 0.032829963)","(0.12226377, 0.050075877)","(0.5550051, 0.08595233)","(0.6480229, 0.095896676)","(0.77833426, 0.06895468)","(0.6816795, 0.0608128)","(139.5, 962.5)","(0.14657542, 0.031407744)","(0.07492642, 0.019102413)","(0.5626969, 0.07765586)","(0.5650054, 0.07096176)","(0.77946556, 0.058290046)","(0.7789525, 0.055609524)","(1013.8, 1.2)","(0.1575214, 0.026120152)","(0.11559038, 0.040545207)","(0.5528275, 0.09157693)","(0.64378726, 0.09732325)","(0.7790519, 0.06950427)","(0.6818316, 0.06426745)","(137.8, 968.4)","(0.1536465, 0.02863816)","(0.07721585, 0.0152027495)","(0.5562775, 0.080001146)","(0.5583018, 0.07703562)","(0.7728796, 0.05587955)","(0.77157354, 0.055349857)","(1026.6, 0.5)","(0.16321568, 0.03225115)","(0.11941411, 0.044801127)","(0.54848826, 0.08863241)","(0.640045, 0.094237395)","(0.7742417, 0.07272086)","(0.6795558, 0.064392194)","(141.2, 967.4)","(0.1469846, 0.02021052)","(0.07479734, 0.0137775615)","(0.55501515, 0.0797147)","(0.5574481, 0.0743371)","(0.77284986, 0.058030125)","(0.7729695, 0.057127774)","(1027.3, 0.8)","(0.15644063, 0.027339516)","(0.11682818, 0.039888754)","(0.55678093, 0.083498)","(0.648839, 0.09198222)","(0.7797229, 0.0688619)","(0.68429404, 0.059286404)","(137.6, 960.6)","(0.14756158, 0.030396024)","(0.075539336, 0.019721488)","(0.552533, 0.07295073)","(0.5542639, 0.07234771)","(0.77062976, 0.054336086)","(0.7713257, 0.05334401)","(1038.5, 1.1)","(0.15899612, 0.030866742)","(0.120250955, 0.041671716)","(0.5558709, 0.090576775)","(0.65447605, 0.09754335)","(0.7827535, 0.07194831)","(0.6871549, 0.063522175)","(137.2, 945.9)","(0.1581075, 0.025199566)","(0.07980187, 0.013941853)","(0.55710256, 0.074056044)","(0.5576238, 0.07428551)","(0.77052337, 0.056412194)","(0.7703154, 0.05399832)","(1035.5, 0.8)","(0.15406397, 0.02850212)","(0.118455924, 0.04280114)","(0.55394113, 0.08968321)","(0.64956045, 0.09920387)","(0.778269, 0.073826216)","(0.6857411, 0.06190045)","(139.0, 960.1)","(0.15392908, 0.027920848)","(0.07799171, 0.016669547)","(0.5572299, 0.08141516)","(0.56112653, 0.074494466)","(0.7747346, 0.059415895)","(0.7745757, 0.058875673)","(1029.0, 0.7)","(0.15659162, 0.030106403)","(0.117173396, 0.04552235)","(0.55365187, 0.08729151)","(0.6464661, 0.09566121)","(0.7777723, 0.071189865)","(0.6818802, 0.06191159)","(137.9, 957.4)","(0.15716779, 0.023179034)","(0.07958172, 0.01435602)","(0.5596359, 0.07983838)","(0.563267, 0.074830554)","(0.77578086, 0.055951636)","(0.7747081, 0.054128874)","(1018.1, 1.0)","(0.15006033, 0.029395834)","(0.11424209, 0.050149754)","(0.5592239, 0.09358372)","(0.65045923, 0.09405245)","(0.78353417, 0.071752064)","(0.6828219, 0.06238942)","(138.5, 950.9)","(0.15683082, 0.023671398)","(0.079621926, 0.0147004705)","(0.5578121, 0.07703985)","(0.55829155, 0.074532524)","(0.77285147, 0.05524294)","(0.77233064, 0.05325927)","(1027.9, 0.8)","(0.16011205, 0.034084234)","(0.124836884, 0.048935983)","(0.5480475, 0.084371984)","(0.64486516, 0.09121163)","(0.7760595, 0.06835487)","(0.6864447, 0.061906867)","(138.3, 957.6)","(0.14148358, 0.029198486)","(0.07323544, 0.021495106)","(0.5530355, 0.071942605)","(0.55018497, 0.0638385)","(0.7682749, 0.057379767)","(0.7688198, 0.055354744)","(1033.4, 2.0)","(0.16023502, 0.029008428)","(0.117928825, 0.039644115)","(0.5492033, 0.081809394)","(0.6439463, 0.09099222)","(0.7775914, 0.07087937)","(0.6832038, 0.06252758)","(138.2, 965.0)","(0.15976657, 0.023914903)","(0.08294099, 0.019684521)","(0.5619997, 0.08017609)","(0.5628997, 0.07361168)","(0.7758768, 0.055723824)","(0.7780822, 0.05698435)","(1015.0, 2.6)","(0.16451132, 0.0332514)","(0.12115945, 0.042577107)","(0.55712414, 0.09480616)","(0.6478012, 0.09777084)","(0.7799963, 0.07289049)","(0.68072796, 0.063302964)","(138.9, 950.8)","(0.14636797, 0.02121052)","(0.07536353, 0.016671592)","(0.55395526, 0.075243756)","(0.55262566, 0.07052527)","(0.7707877, 0.0542362)","(0.77192, 0.053834725)","(1036.2, 1.7)"
