Instance,Original,EGNN2S,G2SAT,W2SAT,Allo-GWAE2SAT,Auto-GWAE2SAT
unsat_matching_40_184_2153.cnf,"(6.120695000042531e-05, 5.51696932942166e-05)","(3.93976725e-05, 1.658913688226932e-05)","(5.0929552e-06, 5.0797602365425706e-06)","(1.396694775e-05, 7.049501825923433e-06)","(6.337229975e-06, 7.053438108187915e-06)","(6.238742325e-06, 6.885619243463029e-06)"
sat_php_224_908_8740.cnf,"(5.127377499967167e-05, 2.907076851135388e-05)","(0.00016278619999999998, 7.226177858216783e-05)","(6.944097450000001e-06, 7.48261993784039e-06)",,"(6.8026149e-06, 7.43333669816483e-06)","(6.85828755e-06, 7.392765285932254e-06)"
sat_tiling_10_244_40767.cnf,"(1.1954250000023591e-05, 6.607149927605225e-06)","(1.11326625e-05, 6.398935314258829e-06)","(4.88395015e-06, 4.6105005502211195e-06)","(1.162840495e-05, 6.8473244411262576e-06)","(9.544382575e-06, 8.745963108492735e-06)","(6.415475075e-06, 7.119413788085875e-06)"
sat_cliquecoloring_50_213.cnf,"(9.657542499930116e-05, 0.00010785813887602323)","(5.334969725e-05, 2.364825150892667e-05)","(5.25702505e-06, 5.303882691868807e-06)","(3.378548175e-05, 3.134314701546921e-05)","(9.836509925e-06, 9.03305890183926e-06)","(9.5338001e-06, 8.772596345208173e-06)"
unsat_php_101_509_5311.cnf,"(0.0018250019250002582, 0.001823620111467018)","(9.717266424999999e-05, 4.707349286498569e-05)","(5.6223625500000005e-06, 5.797242699779828e-06)","(2.064783375e-05, 9.67656576520403e-06)","(6.611085250000001e-06, 7.381517314072879e-06)","(6.63668995e-06, 7.368812693545142e-06)"
sat_php_213_828_16930.cnf,"(4.686877500006403e-05, 2.7112105234270388e-05)","(0.0001424824175, 6.465885234947005e-05)","(7.033642050000001e-06, 7.5407617942457115e-06)",,"(6.927050075e-06, 7.5478329600150155e-06)","(6.890669449999999e-06, 7.49107548887299e-06)"
sat_php_233_990_95853.cnf,"(5.09414500001526e-05, 2.7509989838300487e-05)","(0.0001733517675, 8.086891413164962e-05)","(7.143068025000001e-06, 7.79168561963585e-06)",,"(7.05147715e-06, 7.650480598839503e-06)","(6.957739999999999e-06, 7.478992745406964e-06)"
sat_op_45_249_69595.cnf,"(2.210279999985687e-05, 1.7602922281843726e-05)","(7.502696300000001e-05, 3.5416303611550954e-05)","(5.166552475e-06, 5.21326309654269e-06)","(1.5569382749999998e-05, 7.674288203375458e-06)","(1.0658850125e-05, 9.26853905118385e-06)","(1.0016713025e-05, 9.471659470764716e-06)"
sat_cliquecoloring_55_227.cnf,"(4.986679999987587e-05, 5.3212914636733184e-05)","(5.4332241250000006e-05, 2.4017505594890675e-05)","(5.339275025e-06, 5.400024044921683e-06)","(2.6885730999999997e-05, 1.9576848789946135e-05)","(6.39515e-06, 7.113484634598153e-06)","(6.384180475e-06, 7.098722277810514e-06)"
sat_5color_50_260_2076.cnf,"(1.7601199999894843e-05, 1.0436625014402892e-05)","(5.650187375e-05, 2.5243333792205246e-05)","(5.1444249499999995e-06, 5.137280420670601e-06)","(1.358331775e-05, 6.162114928211027e-06)","(9.3108127e-06, 8.606828651533693e-06)","(6.411867775e-06, 7.116835031942029e-06)"
unsat_tiling_20_793_2570.cnf,"(4.9808700000397716e-05, 3.569410986128292e-05)","(0.0001403772625, 7.251943907947523e-05)","(5.17588985e-06, 4.960693743673159e-06)","(1.9915777e-05, 8.332925600407788e-06)","(6.85059535e-06, 7.541397555052357e-06)","(6.771702e-06, 7.377796039899857e-06)"
sat_cliquecoloring_99_561.cnf,"(0.00022911925000030918, 0.0002268556944955946)","(0.000131572369, 6.446350575535536e-05)","(5.906647499999999e-06, 6.064500895920352e-06)","(3.415911975e-05, 1.8720423741025206e-05)","(6.809189775e-06, 7.496112179018815e-06)","(6.690287299999999e-06, 7.310589086184982e-06)"
unsat_php_186_1660_24423.cnf,"(48.027019476050015, 40.530025798815934)","(0.00027509076, 0.00013751610112794574)","(7.1243154000000005e-06, 7.33447241788507e-06)","(3.9697678249999997e-05, 2.6686235691974772e-05)","(7.249297449999999e-06, 7.753032755923806e-06)","(7.4198749749999994e-06, 7.793512834410408e-06)"
sat_op_45_249_85625.cnf,"(2.0590824982491542e-05, 1.1648513489796369e-05)","(7.345516974999999e-05, 3.643818995102975e-05)","(5.1017675e-06, 5.071141847569317e-06)","(1.5739652125e-05, 8.970369479847056e-06)","(1.03228876e-05, 9.938953329166572e-06)","(1.006855925e-05, 9.513961701830457e-06)"
sat_cliquecoloring_80_524.cnf,"(0.00013778130002606304, 0.00011556728619661208)","(9.80434875e-05, 4.476114161789184e-05)","(5.788252549999999e-06, 5.838698196153788e-06)","(2.1729966124999997e-05, 8.853825033792884e-06)","(6.80870915e-06, 7.50110815122936e-06)","(6.799267175000001e-06, 7.403297021307283e-06)"
