c,v,clauses_vars_ratio,vars_clauses_ratio,vcg_var_mean,vcg_var_coeff,vcg_var_min,vcg_var_max,vcg_var_entropy,vcg_clause_mean,vcg_clause_coeff,vcg_clause_min,vcg_clause_max,vcg_clause_entropy,vg_mean,vg_coeff,vg_min,vg_max,pnc_ratio_mean,pnc_ratio_coeff,pnc_ratio_min,pnc_ratio_max,pnc_ratio_entropy,pnv_ratio_mean,pnv_ratio_coeff,pnv_ratio_min,pnv_ratio_max,pnv_ratio_entropy,pnv_ratio_stdev,binary_ratio,ternary_ratio,ternary+,hc_fraction,hc_var_mean,hc_var_coeff,hc_var_min,hc_var_max,hc_var_entropy,comp_name,cnf_name
100.0,18.0,5.555555555555555,0.18,0.10980392156862745,0.6850024206720225,0.00980392156862745,0.29411764705882354,2.441214529106035,0.10980392156862745,0.34947117483537365,0.05,0.35,0.5854878488858324,0.05773420479302832,0.5122215834150274,0.0196078431372549,0.11764705882352941,1.0,0.0,1.0,1.0,0.0,0.48467604795408,0.43163818246646785,0.19999999999999996,1.0,2.2764226858058185,0.2092046884239297,0.8627450980392157,0.0784313725490196,0.9411764705882353,0.8235294117647058,0.08137254901960785,0.7359266532084555,0.00980392156862745,0.22549019607843138,2.441214529106035,original,unsat_tiling_20_102_21063.cnf
101.6,94.5,1.0755329646163119,0.9300405078853322,0.014241135242413105,2.6375365531990966,0.0,0.2896623007449194,1.3325617955759292,0.014241135242413105,1.06812742540645,0.00448368519791592,0.12105950034372985,1.2426803299597204,0.14360798343429912,0.7013322456301258,0.00965541002483065,0.34258052574051095,0.9608470249506631,0.14262150978528637,0.33333333333333337,1.0,0.4192094403613983,0.3821241995676671,1.2232777021820804,0.0,1.0,1.0635345014998523,0.46579715932176596,0.6367557046093257,0.19394116892344518,0.8306968735327711,0.6697923015786544,0.00718549680924187,4.029853334492352,0.0,0.22207443057110487,0.4984709064040958,egnn2s,unsat_tiling_20_102_21063.cnf
101.5,16.5,6.162832633053221,0.16237263914235395,0.10178571428571428,0.6086227634632159,0.03571428571428571,0.26785714285714285,2.441214529106035,0.10178571428571428,0.37684716432562937,0.05,0.22000000000000003,1.1146446750294614,0.033392857142857134,0.27433788567903894,0.017857142857142856,0.05178571428571429,1.0,0.0,1.0,1.0,0.0,0.44929004506807707,0.42069902329797226,0.0,0.75,2.4150521219178076,0.189015883137642,0.5339285714285715,0.19553571428571426,0.7294642857142858,0.8044642857142857,0.0778125,0.6945898896927815,0.020535714285714282,0.21517857142857144,2.3688914779788894,g2sat,unsat_tiling_20_102_21063.cnf
102.0,20.0,5.1,0.19607843137254902,0.12044117647058823,0.6236778348991427,0.019607843137254898,0.342156862745098,2.5589140394674423,0.12044117647058825,0.3652006616434831,0.1,0.295,0.7862874530949412,0.06284313725490195,0.5200899965611231,0.019607843137254898,0.13039215686274508,0.9852941176470589,0.11953640387936197,0.0,1.0,0.07528097591670338,0.13760577700526544,0.9677334719762243,0.0,0.45587301587301593,2.1363388868069473,0.12649882209676383,0.7725490196078432,0.11568627450980393,0.8882352941176471,0.4784313725490196,0.05764705882352942,0.6219623767296779,0.010784313725490194,0.15686274509803919,2.1694422756506766,w2sat,unsat_tiling_20_102_21063.cnf
156.9,140.9,1.098492897833575,0.9728737267834962,0.007939270036716859,0.3725072946229443,0.006306103420506503,0.01892171023431973,0.5813485333145295,0.00793927003671686,0.2485309776363332,0.006714486456843872,0.016764343906676346,0.34089082760864525,0.008936239665105618,0.18822537587701194,0.006306103420506503,0.01871084490905132,0.9476875183010252,0.17449709499873003,0.1,1.0,0.2119739999666746,0.8354408639316094,0.43715137469804777,0.0,1.0,0.5000856145491308,0.3644703507637742,0.0748600583927532,0.030643434868938595,0.1055034932616918,0.9953140821978902,0.007867825603979183,0.36860993090874533,0.005143273416788152,0.01832999425798837,0.5711185517521548,gwae2sat_allo,unsat_tiling_20_102_21063.cnf
158.1,139.7,1.1263340639308494,0.9112867447538544,0.008419613941176084,0.4071533255126144,0.006362572052591359,0.021745762134785566,0.6698405880761548,0.008419613941176088,0.29684785552970755,0.006930191325933849,0.020273100125286048,0.41393968664571823,0.009989895003281997,0.28512415717750167,0.006362572052591359,0.02270321749758464,0.937868710464504,0.21849999768124545,0.0,1.0,0.2722316804668435,0.8289246357617381,0.44258666131015306,0.0,1.0,0.5541373920182742,0.36652922367596635,0.09312982469108594,0.02379772762709733,0.11692755231818326,0.9942225641312001,0.008328029094039745,0.41022297299343957,0.002949802669077498,0.021745762134785566,0.6824855650470727,gwae2sat_auto,unsat_tiling_20_102_21063.cnf
266.0,40.0,6.65,0.15037593984962405,0.13609022556390976,0.6509966109018978,0.022556390977443608,0.3609022556390977,2.579166413549106,0.13609022556390976,0.2471951258361949,0.05,0.175,1.5544273485728664,0.02631578947368421,0.2803059552906941,0.011278195488721804,0.041353383458646614,0.3308270676691729,0.8512670834602499,0.0,1.0,2.07574275519773,0.0,0.0,0.0,0.0,0.0,0.0,0.022556390977443608,0.07518796992481203,0.09774436090225563,0.19924812030075187,0.022180451127819547,0.5397180789183275,0.007518796992481203,0.045112781954887216,1.9507476992908113,original,unsat_tseitin_40_266_90515.cnf
322.0,331.6,0.9710533537611032,1.0298136645962732,0.006753256522474041,3.659837670608264,0.0,0.2981366459627329,1.2250837876718035,0.006753256522474041,1.5269725374758967,0.002478228419625644,0.08186535906773237,2.123403554345545,0.42457787208273456,0.4310609028001074,0.03478260869565218,0.8043478260869567,0.6903017979260215,0.6124893487272935,0.0,1.0,1.1755256286868545,0.1962858144648548,1.9547196352035363,0.0,1.0,0.7429798011203594,0.3826653163850193,0.0018633540372670807,0.162111801242236,0.1639751552795031,0.3208074534161491,0.001257460384607758,6.345713420313452,0.0,0.0953416149068323,0.24649566944759527,egnn2s,unsat_tseitin_40_266_90515.cnf
292.0,40.0,7.3,0.13698630136986303,0.12397260273972603,0.6509966109018979,0.02054794520547945,0.3287671232876712,2.579166413549106,0.12397260273972603,0.33873516438601076,0.07499999999999998,0.255,1.762672108196193,0.033630136986301365,0.19543206855133435,0.01780821917808219,0.047945205479452045,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20273972602739726,0.20273972602739726,0.4969178082191781,0.061986301369863016,0.6509966109018979,0.010273972602739725,0.1643835616438356,2.579166413549106,g2sat,unsat_tseitin_40_266_90515.cnf
266.0,38.1,6.982051282051282,0.1432330827067669,0.11290413533834587,0.6948057753777561,0.0,0.2789473684210527,3.323142683618228,0.11290413533834587,0.21685372163115005,0.07499999999999998,0.16749999999999998,1.323242227070686,0.030623623836920234,0.3142707554534969,0.010902255639097743,0.051127819548872175,0.3934282133906194,0.7689360845695545,0.0,1.0,1.8716100174125345,0.1257526957406381,1.014244968815531,0.0,0.5709732200448172,2.8342948903821252,0.12860220167090425,0.0,0.1458646616541353,0.1458646616541353,0.28345864661654135,0.02849624060150376,0.6398693770026797,0.0,0.06917293233082705,2.6526667371525807,w2sat,unsat_tseitin_40_266_90515.cnf
