Instance,Allo-GWAE2SAT,Auto-GWAE2SAT
sat_op_45_249_85625.cnf,"[1.346164e-05, 2.7725891e-05, 9.770317e-05, 3.5647863e-05]","[1.3309279e-05, 3.016533e-05, 9.438205e-05, 3.8430753e-05]"
sat_cliquecoloring_80_524.cnf,"[3.1164502e-06, 2.7780702e-06, 2.2668051e-05, 2.79909e-06]","[3.0805397e-06, 2.7679896e-06, 2.211328e-05, 2.7637702e-06]"
sat_cliquecoloring_45_137.cnf,"[5.9374e-06, 1.0299879e-05, 4.288745e-05, 1.1804949e-05]","[8.6898e-06, 1.6513071e-05, 6.0354865e-05, 1.9110199e-05]"
sat_matching_60_251_14901.cnf,"[4.74475e-06, 8.05382e-06, 3.5341982e-05, 9.79216e-06]","[3.87793e-06, 4.94423e-06, 2.6819642e-05, 5.70837e-06]"
sat_subsetcard_36_360_58681.cnf,"[1.55343e-05, 3.809604e-05, 0.000116046445, 4.3640197e-05]","[1.48825e-05, 3.725839e-05, 0.00011054768, 4.2770953e-05]"
sat_tseitin_20_130_36501.cnf,"[1.21002195e-05, 2.6158628e-05, 0.00010371936, 2.5661418e-05]","[1.1950579e-05, 2.542695e-05, 0.0001010979, 2.491767e-05]"
sat_tseitin_30_468_86187.cnf,"[1.4647051e-05, 4.9982395e-05, 0.00013807081, 4.430021e-05]","[1.4785381e-05, 4.88417e-05, 0.00013235337, 4.355068e-05]"
unsat_cliquecoloring_37_230.cnf,"[3.94915e-06, 5.18112e-06, 2.7553691e-05, 5.9307e-06]","[3.1343102e-06, 2.6476503e-06, 2.087949e-05, 2.62721e-06]"
sat_subsetcard_12_72_25143.cnf,"[1.046919e-05, 1.764793e-05, 7.4484604e-05, 1.846273e-05]","[1.0312789e-05, 1.7804981e-05, 7.340537e-05, 1.841192e-05]"
sat_4clique_32_404_34389.cnf,"[7.1632503e-06, 1.653736e-05, 5.1287927e-05, 2.096618e-05]","[4.5729e-06, 8.001991e-06, 3.2308853e-05, 9.85539e-06]"
unsat_php_96_450_86266.cnf,"[3.00017e-06, 2.69585e-06, 2.233962e-05, 2.7198403e-06]","[3.0546696e-06, 2.69566e-06, 2.1819409e-05, 2.7383198e-06]"
unsat_php_97_451_21992.cnf,"[3.0349997e-06, 2.6925e-06, 2.229777e-05, 2.7239698e-06]","[3.0120002e-06, 2.72239e-06, 2.1767211e-05, 2.7169704e-06]"
unsat_4color_40_190_72085.cnf,"[5.2262303e-06, 9.28969e-06, 3.708143e-05, 1.10188885e-05]","[4.3315204e-06, 7.0397205e-06, 3.0671294e-05, 8.003979e-06]"
sat_op_28_119_84304.cnf,"[1.1762921e-05, 2.1349182e-05, 8.4934945e-05, 2.447892e-05]","[1.16488e-05, 2.0855261e-05, 8.257986e-05, 2.349448e-05]"
unsat_cliquecoloring_36_176.cnf,"[4.7299e-06, 6.8521003e-06, 3.302772e-05, 7.8229805e-06]","[4.6492505e-06, 7.4854106e-06, 3.218221e-05, 8.32807e-06]"
sat_subsetcard_12_36_64659.cnf,"[7.11763e-06, 1.3098511e-05, 5.2947482e-05, 1.186701e-05]","[6.64084e-06, 1.210242e-05, 4.807804e-05, 1.047077e-05]"
unsat_tseitin_30_568_54824.cnf,"[1.5477222e-05, 5.6444173e-05, 0.00015358017, 4.8758367e-05]","[1.521288e-05, 5.6532568e-05, 0.00014226163, 4.8029342e-05]"
unsat_cliquecoloring_54_673.cnf,"[3.2689102e-06, 2.8985303e-06, 2.290024e-05, 3.04532e-06]","[3.26376e-06, 2.9046598e-06, 2.238107e-05, 2.9421699e-06]"
unsat_matching_80_365_47440.cnf,"[3.00074e-06, 2.6582497e-06, 2.211418e-05, 2.67406e-06]","[2.9893802e-06, 2.64658e-06, 2.1442931e-05, 2.70956e-06]"
unsat_tseitin_30_452_52851.cnf,"[1.4356529e-05, 4.782355e-05, 0.00013717904, 4.271487e-05]","[1.4342079e-05, 4.8013128e-05, 0.00013091206, 4.250193e-05]"
sat_3clique_24_255_7737.cnf,"[6.74238e-06, 1.4208619e-05, 4.959182e-05, 1.759761e-05]","[5.12283e-06, 9.30577e-06, 3.707497e-05, 1.107193e-05]"
sat_op_45_249_90577.cnf,"[1.358802e-05, 2.7233918e-05, 0.00010003402, 3.5573372e-05]","[1.3371109e-05, 2.757028e-05, 9.7130105e-05, 3.585073e-05]"
sat_tseitin_30_424_85097.cnf,"[1.4155919e-05, 4.636483e-05, 0.00013630938, 4.129725e-05]","[1.4341461e-05, 4.637602e-05, 0.00013027011, 4.1083968e-05]"
sat_php_188_804_77056.cnf,"[3.1702202e-06, 2.84204e-06, 2.241226e-05, 2.82641e-06]","[3.16205e-06, 2.8139098e-06, 2.1754851e-05, 2.88045e-06]"
unsat_subsetcard_31_129_84276.cnf,"[1.204556e-05, 2.208284e-05, 8.921271e-05, 2.5357182e-05]","[1.1900791e-05, 2.193682e-05, 8.5774154e-05, 2.4891671e-05]"
sat_dominating_60_970_53707.cnf,"[3.2838398e-06, 2.8812601e-06, 2.2360231e-05, 2.91498e-06]","[3.2603598e-06, 2.8581098e-06, 2.148975e-05, 2.9233202e-06]"
sat_cliquecoloring_69_305.cnf,"[4.92074e-06, 8.58164e-06, 3.547699e-05, 1.050379e-05]","[4.8837296e-06, 8.40773e-06, 3.411816e-05, 1.0258181e-05]"
unsat_dominating_40_455_67184.cnf,"[3.0689303e-06, 2.71719e-06, 2.243861e-05, 2.7398098e-06]","[3.0379201e-06, 2.6849e-06, 2.1880922e-05, 2.7431402e-06]"
