Instance,Original,EGNN2S,G2SAT,W2SAT,Allo-GWAE2SAT,Auto-GWAE2SAT
unsat_cliquecoloring_62_446.cnf,"[0.00018296349999928906, 0.00013530170000031205, 0.0007199267000004284, 0.00012887950000006754]","[0.00014487114, 6.7171706e-05, 8.649427e-05, 3.676494e-05]","[2.58161e-06, 2.1640199e-06, 1.470961e-05, 2.15689e-06]","[1.078896e-05, 1.363156e-05, 2.6946009e-05, 2.0336858e-05]","[2.6009398e-06, 2.30421e-06, 1.9476951e-05, 2.32393e-06]","[2.47469e-06, 2.3222099e-06, 1.899052e-05, 2.2832598e-06]"
unsat_matching_60_259_93884.cnf,"[0.001737275800000404, 0.0014003550999998281, 0.010053224599999666, 0.0020729561999996093]","[7.439396e-05, 3.9269136e-05, 7.2469076e-05, 2.0439762e-05]","[2.34003e-06, 2.0648502e-06, 1.4371801e-05, 2.01775e-06]","[7.20574e-06, 9.8563905e-06, 2.881319e-05, 1.6028313e-05]","[2.4194e-06, 2.14891e-06, 1.85742e-05, 2.1854798e-06]","[2.4246797e-06, 2.26951e-06, 1.835783e-05, 2.28417e-06]"
unsat_tseitin_20_100_94365.cnf,"[0.0025303754000002955, 0.002599300799999682, 0.008593343200000447, 0.0019839037999993536]","[2.722495e-05, 3.942567e-05, 8.611234e-05, 3.800157e-05]","[6.9604002e-06, 9.82333e-06, 3.0393541e-05, 6.6422e-06]","[1.34653e-05, 1.162618e-05, 3.819455e-05, 8.9081395e-06]","[3.2599899e-06, 4.0221203e-06, 2.537336e-05, 4.11772e-06]","[3.2177202e-06, 3.9820598e-06, 2.519132e-05, 3.95625e-06]"
sat_subsetcard_64_1792_25143.cnf,"[6.418399999965629e-05, 5.158330000014644e-05, 0.0001234537000005531, 3.736830000029556e-05]","[0.001102481, 0.0005196445, 0.0013672719, 0.00068037456]","[0.00018347517, 0.00017124575, 0.000698232, 0.00014697839]","[2.8231381e-05, 3.8537062e-05, 9.666743e-05, 2.600985e-05]","[7.84001e-06, 2.0049742e-05, 3.4777528e-05, 1.968897e-05]","[4.4151097e-06, 3.88795e-06, 2.528601e-05, 3.7329398e-06]"
sat_tiling_10_236_77445.cnf,"[6.237400000941307e-06, 9.225100001941654e-06, 2.179429999884519e-05, 7.206899999090411e-06]","[6.9441e-06, 9.11645e-06, 2.273286e-05, 6.8088802e-06]","[2.27118e-06, 1.9726099e-06, 1.24649305e-05, 1.97682e-06]","[5.6398e-06, 8.76268e-06, 2.2732318e-05, 8.023379e-06]","[2.50853e-06, 2.2557201e-06, 1.866495e-05, 2.2355998e-06]","[2.39902e-06, 2.1699302e-06, 1.8445191e-05, 2.3368698e-06]"
unsat_cliquecoloring_50_356.cnf,"[0.0001735283999977355, 0.00013295059999975933, 0.0006780425999991735, 0.00012186620000065318]","[0.00011845172, 6.623988e-05, 8.837791e-05, 3.13881e-05]","[2.4823298e-06, 2.13536e-06, 1.43878615e-05, 2.09245e-06]","[9.5636005e-06, 1.1797589e-05, 2.871491e-05, 1.810959e-05]","[2.60579e-06, 2.3147e-06, 1.969637e-05, 2.33613e-06]","[2.4344502e-06, 2.29724e-06, 1.902318e-05, 2.2622303e-06]"
sat_dominating_70_1295_25518.cnf,"[6.632519999953957e-05, 8.374149999994529e-05, 0.0005213605000022881, 9.242399999962459e-05]","[0.0003017417, 0.0001392616, 0.00035629282, 7.271035e-05]","[2.7845501e-06, 2.57272e-06, 1.572944e-05, 2.4778299e-06]","[1.001467e-05, 2.0792519e-05, 3.0768402e-05, 5.6392448e-05]","[3.00051e-06, 2.6092898e-06, 2.047126e-05, 2.62295e-06]","[2.9122498e-06, 2.76663e-06, 2.046774e-05, 2.63819e-06]"
unsat_matching_40_184_2153.cnf,"[2.843630000128883e-05, 2.7811599998983638e-05, 0.00015672649999984856, 3.1853400001580213e-05]","[5.2073417e-05, 2.85129e-05, 5.8751153e-05, 1.825322e-05]","[2.3843302e-06, 2.0750601e-06, 1.38881205e-05, 2.02431e-06]","[7.4410395e-06, 9.5999985e-06, 2.5650243e-05, 1.317651e-05]","[2.40785e-06, 2.1834799e-06, 1.85532e-05, 2.20439e-06]","[2.4043402e-06, 2.17948e-06, 1.8164039e-05, 2.2071101e-06]"
sat_php_224_908_8740.cnf,"[2.878350000017349e-05, 2.7749299999868526e-05, 9.940629999931616e-05, 4.9155999999328515e-05]","[0.00025422632, 0.00011642063, 0.00020865996, 7.183789e-05]","[2.7726198e-06, 2.55397e-06, 1.990342e-05, 2.54638e-06]",,"[2.5937998e-06, 2.47659e-06, 1.967723e-05, 2.4628398e-06]","[2.6778e-06, 2.57987e-06, 1.966253e-05, 2.5129502e-06]"
sat_tiling_10_244_40767.cnf,"[6.681900000415908e-06, 9.989300000512458e-06, 2.3213899999774413e-05, 7.93189999939159e-06]","[5.75781e-06, 9.47946e-06, 2.197699e-05, 7.31639e-06]","[2.5177198e-06, 2.0968398e-06, 1.2863461e-05, 2.05778e-06]","[5.8362198e-06, 9.277659e-06, 2.3293102e-05, 8.106639e-06]","[3.29551e-06, 4.52518e-06, 2.461881e-05, 5.7380303e-06]","[2.4210601e-06, 2.2469399e-06, 1.874605e-05, 2.2478503e-06]"
