c,v,clauses_vars_ratio,vars_clauses_ratio,vcg_var_mean,vcg_var_coeff,vcg_var_min,vcg_var_max,vcg_var_entropy,vcg_clause_mean,vcg_clause_coeff,vcg_clause_min,vcg_clause_max,vcg_clause_entropy,vg_mean,vg_coeff,vg_min,vg_max,pnc_ratio_mean,pnc_ratio_coeff,pnc_ratio_min,pnc_ratio_max,pnc_ratio_entropy,pnv_ratio_mean,pnv_ratio_coeff,pnv_ratio_min,pnv_ratio_max,pnv_ratio_entropy,pnv_ratio_stdev,binary_ratio,ternary_ratio,ternary+,hc_fraction,hc_var_mean,hc_var_coeff,hc_var_min,hc_var_max,hc_var_entropy,comp_name,cnf_name
1825.0,65.0,28.076923076923077,0.03561643835616438,0.03123287671232877,0.08649619626970075,0.022465753424657533,0.03561643835616438,2.584185001977329,0.03123287671232877,0.2832208155353955,0.03076923076923077,0.2,0.01890007188448163,0.030684931506849315,0.08804077120308824,0.021917808219178082,0.03506849315068493,1.0,0.0,1.0,1.0,0.0,0.9646240028292796,0.003490190139676832,0.9512195121951219,0.9692307692307692,0.2711893730418441,0.0033667211831703483,0.9972602739726028,0.0,0.9972602739726028,0.9972602739726028,0.030684931506849315,0.08804077120308824,0.021917808219178082,0.03506849315068493,2.584185001977329,original,unsat_5clique_65_1825_50315.cnf
953.0,229.0,4.1615720524017465,0.2402938090241343,0.009691298908984269,0.0885790081658575,0.008394543546694649,0.01049317943336831,1.0516695027638436,0.009691298908984269,0.9616991057413046,0.008733624454148471,0.1091703056768559,0.07204196019002221,0.03170864702135751,0.051428847212798216,0.02833158447009444,0.03462749213011543,1.0,0.0,1.0,1.0,0.0,0.7816593886462883,0.025930722576666426,0.75,0.8,1.0516695027638436,0.020268992756433582,0.9895068205666316,0.0,0.9895068205666316,0.9895068205666316,0.00864198096564744,0.09933435963456455,0.007345225603357817,0.00944386149003148,1.0516695027638436,original,sat_php_229_953_65845.cnf
1810.0,80.0,22.625,0.04419889502762431,0.02569060773480663,0.4978622353734316,0.0033149171270718232,0.0430939226519337,2.99956210774418,0.025690607734806633,0.20151610579529652,0.025,0.1,0.13024179606438463,0.018922651933701656,0.4200855173258276,0.0033149171270718232,0.03314917127071823,0.9613259668508287,0.19297854471702086,0.0,1.0,0.20592080461055515,0.9163289322575893,0.0955406944733924,0.6666666666666667,0.9743589743589743,1.7066562064501611,0.08754670255395222,0.9784530386740331,0.0016574585635359116,0.980110497237569,0.9779005524861878,0.024447513812154695,0.5688847543260014,0.0016574585635359116,0.042541436464088395,2.5375869076169133,original,unsat_dominating_80_1810_98166.cnf
100.0,18.0,5.555555555555555,0.18,0.10980392156862745,0.6850024206720225,0.00980392156862745,0.29411764705882354,2.441214529106035,0.10980392156862745,0.34947117483537365,0.05,0.35,0.5854878488858324,0.05773420479302832,0.5122215834150274,0.0196078431372549,0.11764705882352941,1.0,0.0,1.0,1.0,0.0,0.48467604795408,0.43163818246646785,0.19999999999999996,1.0,2.2764226858058185,0.2092046884239297,0.8627450980392157,0.0784313725490196,0.9411764705882353,0.8235294117647058,0.08137254901960785,0.7359266532084555,0.00980392156862745,0.22549019607843138,2.441214529106035,original,unsat_tiling_20_102_21063.cnf
102.0,20.0,5.1,0.19607843137254902,0.11985294117647058,0.6223859020941109,0.016666666666666663,0.30294117647058816,2.5684617519918644,0.11985294117647058,0.35841779172398736,0.1,0.34500000000000003,0.7837715171105074,0.06441176470588235,0.5329316461578106,0.016666666666666663,0.12941176470588234,0.9774509803921569,0.14081441362045946,0.1,1.0,0.10321763282038329,0.21381327806979405,0.8601905043826259,0.0,0.6885296574770259,2.427651707832928,0.18254182964177043,0.7637254901960785,0.1303921568627451,0.8941176470588236,0.4931372549019608,0.05794117647058824,0.532671324322979,0.010784313725490196,0.13725490196078433,2.1936806568105003,w2sat,unsat_tiling_20_102_21063.cnf
920.0,225.0,4.088888888888889,0.24456521739130435,0.009879227053140097,0.09456762643429688,0.007608695652173913,0.010869565217391304,1.1790810802424656,0.009879227053140097,0.9588561273211356,0.008888888888888889,0.1111111111111111,0.07896088417417879,0.03227053140096618,0.05708286217047192,0.02717391304347826,0.035869565217391305,1.0,0.0,1.0,1.0,0.0,0.7777777777777778,0.02977074698581303,0.7142857142857143,0.8,1.1790810802424656,0.023155025433410133,0.9891304347826086,0.0,0.9891304347826086,0.9891304347826086,0.008792270531400966,0.10625867915282264,0.006521739130434782,0.009782608695652175,1.1790810802424654,original,sat_php_225_920_5668.cnf
1793.0,76.0,23.592105263157894,0.042387060791968766,0.02540768380320619,0.5225209979731058,0.002763957987838585,0.04311774461028192,2.907243376740154,0.025407683803206193,0.13039380673376663,0.0125,0.0625,0.1224949928667767,0.01804864566058596,0.510533175577382,0.001658374792703151,0.03316749585406302,0.9613045881702598,0.19303384994732062,0.0,1.0,0.20600963965133987,0.898423989977647,0.13269424064482113,0.6000000000000001,0.9743589743589743,1.6143374754461355,0.11921568912717427,0.9789939192924267,0.003869541182974019,0.9828634604754007,0.9806522940851299,0.024488667772249863,0.566411526125197,0.001658374792703151,0.04256495301271421,2.6626875135014605,original,unsat_dominating_80_1809_31472.cnf
1809.0,80.0,22.612500000000004,0.044223327805417365,0.03010433941404091,0.33298519905695334,0.0073521282476506356,0.05234936428966279,3.7057561726982393,0.03010433941404091,0.3479634425758842,0.025,0.0625,0.7799067949235771,0.017839966832504144,0.4123455905377111,0.002432283029297955,0.030735212824765067,0.8062004790860513,0.44138930961027134,0.0,1.0,0.7810043428654081,0.6587586314613704,0.2823729626431593,0.04193588546529723,0.89364102142024,3.5533395876176663,0.1857113159021057,0.7551133222775014,0.148424543946932,0.9035378662244333,0.8296849087893865,0.024575732448866777,0.4521314283736239,0.003537866224433389,0.047982310668877835,3.714579692413588,w2sat,unsat_dominating_80_1809_31472.cnf
857.0,94.0,9.117021276595745,0.10968494749124855,0.021946920231386082,0.020919957023650362,0.021003500583430573,0.022170361726954493,0.4883753620158324,0.021946920231386082,0.20319683296963983,0.02127659574468085,0.05319148936170213,0.1256704095222056,0.025199235333548498,0.03118658481053085,0.022170361726954493,0.025670945157526253,1.0,0.0,1.0,1.0,0.0,0.8936170212765957,0.002574943192551811,0.8888888888888888,0.8947368421052632,0.4883753620158324,0.002301013065684597,0.9766627771295215,0.002333722287047841,0.9789964994165694,0.9766627771295215,0.020780059087862162,0.022094673845766927,0.019836639439906652,0.021003500583430573,0.4883753620158324,original,unsat_php_94_857_1462.cnf
857.0,94.0,9.117021276595747,0.10968494749124855,0.024365053750093096,0.299545231965488,0.0102683780630105,0.04049008168028005,2.9539010089654334,0.024365053750093096,0.3490372602415129,0.02127659574468085,0.05319148936170213,0.5297667897576597,0.0245934606122297,0.1784543063706801,0.011668611435239205,0.03383897316219369,0.9443990665110853,0.24053649346588232,0.0,1.0,0.22826614750569477,0.5600077181128674,0.29542804457918437,0.07904528347706527,0.8788491327749641,3.5509386202889055,0.1653904283753582,0.8682613768961494,0.031155192532088684,0.899416569428238,0.7962660443407235,0.01962561136075871,0.31236829592864507,0.007701283547257876,0.03278879813302218,2.795372178752286,w2sat,unsat_php_94_857_1462.cnf
